8627,1923484,Yogith Aras,1200980357001
7394,4536,Rahul Manjunath,1200980357002
5432,28,Karan Singh Rajput,1200980357003
1574,5218845,Deepan Rajan,1200980357004
3045,54955,Adarsh Jeshwal,1200980357005
2344,1005,Bin Laden,1200980357007
8979,562,Sara Ali Khan,1200980357008
1458,5632,Deepika Padkone,1200980357009
7515,8626,Shah Rukh Khan,1200980357010
3696,8216,Salman Khan,1200980357011
1020,86621,Hrithik Roshan,1200980357012
1995,86532,Tiger Shroff,1200980357013
1512,6532,Rajnikanth,1200980357014
6123,78965,Punith Raj kumar,1200980357015
4123,89623,Yash,1200980357016
8348,5412,Vijay,1200980357017
4262,5210,Vijay Sethupathi,1200980357018
3434,8566,Allu Arjun,1200980357019
1241,2165,Vijay Deverakonda,1200980357020
1265,754,Pooja Hegde,1200980357021
944,455533,Kareena Kapoor,1200980357022
6393,54244,Sanjay Dutt,1200980357023
5373,10000,Anant Nag,1200980357024
1458,800000,Surya,1200980357025
8746,100000,Shivraj Kumar,1200980357026
2746,20000,Suri,1200980357027
2020,2000000,Druva Sarja,1200980357028
9273,20000,Rachitha Ram,1200980357029
4627,310000,Hari Priya,1200980357030
9273,30000,Rakshith Shetty,1200980357031
4373,300000,Chandan Shetty,1200980357032
8353,40000,Sanjana Anand,1200980357033
1276,4000,Virat Kohli,1200980357034
1452,900000000,Mahendra Singh Dhoni,1200980357035
7456,895620,K.Lokesh Rahul,1200980357036
3497,54185,Sonu Nigam,1200980357037
1438,85412,Bhad Shah,1200980357038
619,54120,Honey Singh,1200980357039
3194,5421,Dhanush,1200980357040
1510,452106,Varun Tej,1200980357041
2563,25214,Nivin Pauly,1200980357042
4125,4145,Sai Palavi,1200980357043
3658,45126513,Trisha Krishnan,1200980357044
3078,512651,Catherine Tresa,1200980357045
2150,45115,Anushka Shetty,1200980357046
6941,78455,Dhananjay,1200980357047
313,47851,Arun Vijay,1200980357048
2156,4782165489,Vikranth,1200980357049
4527,65325965,Upendra,1200980357050
9657,5233,Sonu Gowda,1200980357051
687,500000,Yog Raj Bhat,1200980357052
9302,500,Nazariya Nazim,1200980357053
4920,7621,Mahesh Babu,1200980357054
